partition,in,out,red,T
Particion 1-1, 86.0000, 76.5625, 97.4820, 4.6152
Particion 1-2, 73.0000, 69.0722, 98.2014, 3.3610
Particion 2-1, 76.0000, 68.2292, 97.8417, 3.9263
Particion 2-2, 80.0000, 75.2577, 98.2014, 3.3409
Particion 3-1, 82.0000, 72.3958, 96.7626, 6.2122
Particion 3-2, 83.0000, 72.6804, 97.1223, 5.5603
Particion 4-1, 80.0000, 73.9583, 98.5611, 2.6402
Particion 4-2, 80.0000, 68.5567, 97.8417, 4.0374
Particion 5-1, 75.0000, 69.7917, 98.5611, 2.6352
Particion 5-2, 76.0000, 74.7423, 98.5611, 2.6895
Media, 79.1000, 72.1247, 97.9137, 3.9018
Max, 86.0000, 76.5625, 98.5611, 6.2122
Min, 73.0000, 68.2292, 96.7626, 2.6352
Desv. Típica,3.8328, 2.8770, 0.5976, 1.1785
