partition,in,out,red,T
Particion 1-1, 95.7895, 95.7747, 0.0000, 0.0407
Particion 1-2, 97.5352, 94.0351, 0.0000, 0.0119
Particion 2-1, 95.4386, 97.1831, 0.0000, 0.0116
Particion 2-2, 95.7747, 96.8421, 0.0000, 0.0114
Particion 3-1, 96.1404, 97.1831, 0.0000, 0.0115
Particion 3-2, 97.5352, 96.8421, 0.0000, 0.0115
Particion 4-1, 95.7895, 96.1268, 0.0000, 0.0115
Particion 4-2, 95.7747, 97.1930, 0.0000, 0.0114
Particion 5-1, 96.1404, 95.0704, 0.0000, 0.0115
Particion 5-2, 97.5352, 95.0877, 0.0000, 0.0114
Media, 96.3453, 96.1338, 0.0000, 0.0144
Max, 97.5352, 97.1930, 0.0000, 0.0407
Min, 95.7747, 94.0351, 0.0000, 0.0114
Desv. Típica,0.8014, 1.0529, 0.0000, 0.0087
